Descrição,Preço Antigo,Preço Promocional,Origem,Mercado
Macarrão de Sêmola Com Ovos Padre Nosso Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Penne Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Parafuso Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Parafusinho Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Nhoque Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Caracolino Renata Pacote 500g,"De R$ 4,19 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Espaguetinho 9 Renata Pacote 500g,"De R$ 4,49 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Espaguete 8 Renata Pacote 500g,"De R$ 4,49 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Fidelinho 10 Renata Pacote 500g,"De R$ 4,49 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Linguine Renata Pacote 500g,"De R$ 4,49 por","R$ 3,89 un",Web Scraping,Rena
Macarrão de Sêmola Com Ovos Fettuccine Renata Pacote 500g,"De R$ 4,49 por","R$ 3,89 un",Web Scraping,Rena
Iogurte Grego Apreciare Zero Lactose Trisabor 540g,"De R$ 13,29 por","R$ 6,99 un",Web Scraping,Rena
Vinho Chileno Tinto Meio Seco Reservado Santa Carolina Shiraz Valle Central Garrafa 750ml,"De R$ 31,35 por","R$ 26,99 un",Web Scraping,Rena
Vinho Chileno Tinto Meio Seco Reservado Santa Carolina Malbec Valle Central Garrafa 750ml,"De R$ 32,99 por","R$ 26,99 un",Web Scraping,Rena
Lava-Roupas Líquido Rosas & Sedução Uau Perfumes Frasco 3l,"De R$ 28,49 por","R$ 24,90 un",Web Scraping,Rena
Bombom Garoto Garotices Caixa 250g,"De R$ 12,89 por","R$ 11,98 un",Web Scraping,Rena
Massa Pastel Pastaninna 500g Media,Preço não disponível,"R$ 8,99 un",Web Scraping,Rena
Massa Pastel Pastaninna 500g Pequena,Preço não disponível,"R$ 8,99 un",Web Scraping,Rena
Massa Pastel Pastaninna 500g Grande,Preço não disponível,"R$ 8,99 un",Web Scraping,Rena
Massa Pastel Pastaninna 500g Rolo,Preço não disponível,"R$ 8,99 un",Web Scraping,Rena
Sorvete Toc Frio Pote 1l Flocos,"De R$ 17,99 por","R$ 12,99 un",Web Scraping,Rena
Sorvete Toc Frio Pote 1l Napoli,"De R$ 17,99 por","R$ 12,99 un",Web Scraping,Rena
Antitranspirante Aerossol Nivea Dry Comfort Plus 150ml,"De R$ 14,99 por","R$ 12,99 un",Web Scraping,Rena
Pizza Rena 460g Trad.Presunto,"De R$ 24,90 por","R$ 16,99 un",Web Scraping,Rena
Pizza Rena 460g Trad. Frango/Reque,"De R$ 24,90 por","R$ 16,99 un",Web Scraping,Rena
Hamburguer Sadia 56g Misto,"De R$ 1,39 por","R$ 1,09 un",Web Scraping,Rena
Vinho Argentino Branco Meio Seco Reserve Trivento White Malbec Mendoza Garrafa 750ml,"De R$ 79,90 por","R$ 49,99 un",Web Scraping,Rena
"Iogurte Parcialmente Desnatado Mamão, Maçã, Banana E Cereais Neston 3 Cereais Garrafa 850g","De R$ 16,98 por","R$ 11,99 un",Web Scraping,Rena
"Iogurte Parcialmente Desnatado Mamão, Maçã, Banana E Cereais Neston Frasco 170g","De R$ 4,29 por","R$ 2,99 un",Web Scraping,Rena
Vinho Chileno Santa Carolina Tinto Suave 750ml,"De R$ 32,99 por","R$ 26,99 un",Web Scraping,Rena
Vinho Chileno Sta Carolina Branco Suave 7ooml,"De R$ 32,99 por","R$ 26,99 un",Web Scraping,Rena
Batata Palha Tradicional Yoki Sachê 105g,"De R$ 9,99 por","R$ 8,98 un",Web Scraping,Rena
Batata Palha Extrafina Yoki Sachê 100g,"De R$ 9,29 por","R$ 8,98 un",Web Scraping,Rena
Batata Palha Extrafina Cebola E Salsa Yoki Sachê 100g,"De R$ 9,29 por","R$ 8,98 un",Web Scraping,Rena
Energético Jack Power Frutas Tropicais 2l,"De R$ 8,79 por","R$ 7,49 un",Web Scraping,Rena
Viinho Italiano Il Viaggio Rosso Tinto 750ml,"De R$ 39,90 por","R$ 36,99 un",Web Scraping,Rena
Viinho Italiano Il Viaggio Bianco Branco 750ml,"De R$ 39,90 por","R$ 36,99 un",Web Scraping,Rena
Arroz Amaral 5kg,"De R$ 26,49 por","R$ 25,99 un",Web Scraping,Rena
Chocolate Ao Leite Aerado Suflair Pacote 50g,"De R$ 5,49 por","R$ 4,98 un",Web Scraping,Rena
Milho Pipoca Codil 500g Premium,"De R$ 3,99 por","R$ 3,49 un",Web Scraping,Rena
Cerveja Puro Malte Petra Origem Lata 473ml,"De R$ 3,99 por","R$ 3,88 un",Web Scraping,Rena
Amendoim Codil 500g Branco,"De R$ 8,99 por","R$ 7,99 un",Web Scraping,Rena
Pizza Rena 460g Trad.Marguerita,"De R$ 24,90 por","R$ 16,99 un",Web Scraping,Rena
Pizza Rena 460g Trad.Mussarela,"De R$ 24,90 por","R$ 16,99 un",Web Scraping,Rena
Cerveja Lager Premium Puro Malte Heineken Lata 473ml,"De R$ 6,49 por","R$ 5,98 un",Web Scraping,Rena
Vinho Ital.Ricamo 750ml Bianco,"De R$ 40,75 por","R$ 35,99 un",Web Scraping,Rena
